(4,0)
(3.61803,-1.17557)
(2.61803,-1.90211)
(1.38197,-1.90211)
(0.381966,-1.17557)
(0,0)
(0.381966,1.17557)
(1.38197,1.90211)
(2.61803,1.90211)
(3.61803,1.17557)
(3.61803,-1.17557)
(2.92705,-2.12663)
(1.80902,-2.4899)
(0.690983,-2.12663)
(0,-1.17557)
(0,0)
(0.690983,0.951057)
(1.80902,1.31433)
(2.92705,0.951057)
(3.61803,0)
(2.61803,-1.90211)
(1.80902,-2.4899)
(0.809017,-2.4899)
(1.11022e-016,-1.90211)
(-0.309017,-0.951057)
(0,0)
(0.809017,0.587785)
(1.80902,0.587785)
(2.61803,0)
(2.92705,-0.951057)
(1.38197,-1.90211)
(0.690983,-2.12663)
(1.11022e-016,-1.90211)
(-0.427051,-1.31433)
(-0.427051,-0.587785)
(0,0)
(0.690983,0.224514)
(1.38197,-1.11022e-016)
(1.80902,-0.587785)
(1.80902,-1.31433)
(0.381966,-1.17557)
(0,-1.17557)
(-0.309017,-0.951057)
(-0.427051,-0.587785)
(-0.309017,-0.224514)
(0,0)
(0.381966,-1.38778e-017)
(0.690983,-0.224514)
(0.809017,-0.587785)
(0.690983,-0.951057)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0.381966,1.17557)
(0.690983,0.951057)
(0.809017,0.587785)
(0.690983,0.224514)
(0.381966,1.38778e-017)
(0,0)
(-0.309017,0.224514)
(-0.427051,0.587785)
(-0.309017,0.951057)
(0,1.17557)
(1.38197,1.90211)
(1.80902,1.31433)
(1.80902,0.587785)
(1.38197,1.11022e-016)
(0.690983,-0.224514)
(0,0)
(-0.427051,0.587785)
(-0.427051,1.31433)
(1.11022e-016,1.90211)
(0.690983,2.12663)
(2.61803,1.90211)
(2.92705,0.951057)
(2.61803,0)
(1.80902,-0.587785)
(0.809017,-0.587785)
(0,0)
(-0.309017,0.951057)
(1.11022e-016,1.90211)
(0.809017,2.4899)
(1.80902,2.4899)
(3.61803,1.17557)
(3.61803,0)
(2.92705,-0.951057)
(1.80902,-1.31433)
(0.690983,-0.951057)
(0,0)
(0,1.17557)
(0.690983,2.12663)
(1.80902,2.4899)
(2.92705,2.12663)
